ID,country,hours,male,divorcerate,taxrate
1,Austria,1431.6,1,5.9,0.3140000104904175
2,Belgium,1208,1,6.22,0.4300000071525574
3,Denmark,1418.6,1,6.75,0.4269999861717224
4,Finland,1344.1,1,6.8,0.32899999618530273
5,France,1209.4,1,4.7,0.29499998688697815
6,Germany,1204.6,1,4.92,0.4339999854564667
7,Greece,1586.3,1,2.02,0.16500000655651093
8,Ireland,1489.6,1,2,0.23000000417232513
9,Italy,1363.5,1,1.6,0.2709999978542328
10,Luxembourg,1386.5,1,5.05,0.27300000190734863
11,Netherlands,1422.4,1,5.25,0.3050000071525574
12,Norway,1368.8,1,6.1,0.3140000104904175
13,Portugal,1461.6,1,3.5,0.21299999952316284
14,Spain,1346,1,2.08,0.20100000500679016
15,Sweden,1390.1,1,6.72,0.3240000009536743
16,Switzerland,1736.8,1,4.65,0.2460000067949295
17,UK,1572.1,1,6.29,0.2549999952316284
18,United States,1613,1,9.25,0.24799999594688416
