year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1980,AK,Alaska,81,0,401851,9.399999618530273,12105,-0.2849999964237213,NA,NA,NA,NA,NA,NA,12,0
1980,AL,Alabama,41,1,3893888,8.399999618530273,14711,-0.22599999606609344,NA,NA,NA,NA,NA,26.200000762939453,2,0
1980,AR,Arkansas,42,1,2286435,7.5,14300,-0.31299999356269836,220861,0,119196,0,0.5911146998405457,11.5,6,0
1980,AZ,Arizona,61,0,2718215,6.699999809265137,3658,0.6079999804496765,949992,0,2085242,1,0.5054942965507507,23.399999618530273,12,1
1980,CA,California,71,0,23667902,6.900000095367432,12103,-0.4090000092983246,2823607,0,1152272,0,0.6033471822738647,7.400000095367432,12,0
1980,CO,Colorado,62,0,2889964,5.900000095367432,14305,-0.4090000092983246,1142304,3,1085205,0,0.5082656741142273,15.800000190734863,6,0
1980,CT,Connecticut,1,0,3107576,5.900000095367432,7847,-0.32100000977516174,NA,NA,NA,NA,NA,-4.099999904632568,18,0
1980,FL,Florida,43,1,9746324,6.099999904632568,14309,-0.10700000077486038,NA,NA,NA,NA,NA,17,6,0
1980,GA,Georgia,44,1,5463105,6.199999809265137,9174,0.02199999988079071,2213289,0,735875,0,1,18.200000762939453,24,0
1980,HI,Hawaii,82,0,964691,4.800000190734863,4812,-0.2980000078678131,480113,0,16882,0,0.808800458908081,NA,18,0
1980,IA,Iowa,31,0,2913808,5.699999809265137,10715,-0.38600000739097595,1750680,4,2183028,0,0.45987969636917114,22.899999618530273,6,0
1980,ID,Idaho,63,0,943935,7.099999904632568,1721,-0.3490000069141388,1931487,4,1780777,0,0.4950801134109497,21.899999618530273,24,0
1980,IL,Illinois,21,0,11426518,8.199999809265137,13102,-0.35199999809265137,NA,NA,NA,NA,NA,6.199999809265137,10,0
1980,IN,Indiana,22,0,5490224,9.600000381469727,10800,-0.3799999952316284,2765254,4,2289838,0,0.46214205026626587,14,18,0
1980,KS,Kansas,32,0,2363679,4.5,10513,0.3190000057220459,1224494,1,339987,0,0.6376074552536011,15.699999809265137,12,1
1980,KY,Kentucky,51,0,3660777,8.100000381469727,14302,-0.20000000298023224,491522,3,7262,0,0.6512489914894104,16.5,6,0
1980,LA,Louisiana,45,1,4205900,6.900000095367432,5767,-0.10499999672174454,2166838,0,0,NA,1,21.700000762939453,32,0
1980,MD,Maryland,52,0,4216975,6.599999904632568,10535,-0.10100000351667404,841446,1,174122,0,0.6616732478141785,6.400000095367432,12,1
1980,MO,Missouri,34,0,4916686,7.300000190734863,12104,-0.3490000069141388,1390560,2,1173161,0,0.5217108726501465,13.100000381469727,12,0
1980,NC,North Carolina,47,1,5881766,6.400000095367432,14308,-0.14000000059604645,957038,0,1297875,0,0.49708491563796997,19.200000762939453,6,0
1980,ND,North Dakota,36,0,652717,5,10450,0.20499999821186066,NA,NA,NA,NA,NA,42.599998474121094,36,1
1980,NH,New Hampshire,4,0,920610,4.599999904632568,14310,-0.35600000619888306,675844,3,634264,0,0.47852879762649536,22.399999618530273,5,0
1980,NV,Nevada,65,0,800493,6.5,14077,0.47099998593330383,1123651,1,285619,0,0.6102059483528137,-13.5,6,1
1980,NY,New York,13,0,17558072,7.5,4898,-0.2070000022649765,NA,NA,NA,NA,NA,4.199999809265137,24,1
1980,OH,Ohio,24,0,10797630,8.5,14304,-0.2669999897480011,838202,1,423060,0,0.7089163064956665,8.800000190734863,6,0
1980,OK,Oklahoma,53,0,3025290,4.400000095367432,12101,0.2720000147819519,NA,NA,NA,NA,NA,26.399999618530273,12,1
1980,OR,Oregon,72,0,2633105,8.399999618530273,12107,0.06599999964237213,1534607,1,195035,0,0.5421102643013,5.5,12,1
1980,PA,Pennsylvania,14,0,11863895,7.900000095367432,10557,0.007000000216066837,NA,NA,NA,NA,NA,10.600000381469727,12,1
1980,SC,South Carolina,48,1,3121820,6.599999904632568,11204,-0.19099999964237213,723427,1,66044,0,0.7036806344985962,24.899999618530273,14,0
1980,SD,South Dakota,37,0,690768,4.699999809265137,6256,-0.5199999809265137,3317901,4,1801653,0,0.40367069840431213,21,18,0
1980,UT,Utah,67,0,1461037,6.5,14303,0.48100000619888306,1113061,0,263558,1,0.7429187893867493,33,6,1
1980,VT,Vermont,6,0,511456,6.300000190734863,14307,-0.3619999885559082,434644,0,532904,0,0.5066999793052673,0.699999988079071,6,0
1980,WA,Washington,73,0,4132156,7.900000095367432,5913,-0.35100001096725464,1429513,3,896532,0,0.4582655727863312,8.5,36,0
1980,WI,Wisconsin,25,0,4705767,7.300000190734863,10816,-0.5490000247955322,897774,4,686758,0,0.4906013309955597,14.800000190734863,18,0
