"state_abbrev","district_code","congress","chamber","icpsr","state_icpsr","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","newly.elected","Obama","medianIncome","region","south","midwest","west","northeast"
"AK",1,112,"House",14066,81,200,0,1,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.021,-370.39273,0.74772,1274,154,NA,0.338,-0.052,0,38,64.576,"west",0,0,1,0
"AL",1,112,"House",20300,41,200,0,1,"BONNER, Jr., Josiah Robins (Jo)","B001244",1959,NA,0.367,0.513,-146.62502,0.9,1390,57,NA,0.31,0.506,0,39,41.172,"south",1,0,0,0
"AL",2,112,"House",21192,41,200,0,1,"ROBY, Martha","R000591",1976,NA,0.361,0.656,-149.41699,0.90052,1426,61,NA,0.36,0.59,1,36,40.567,"south",1,0,0,0
"AL",3,112,"House",20301,41,200,0,1,"ROGERS, Mike Dennis","R000575",1958,NA,0.353,0.459,-156.51999,0.89591,1424,65,NA,0.291,0.659,0,43,35.452,"south",1,0,0,0
"AL",4,112,"House",29701,41,200,0,1,"ADERHOLT, Robert","A000055",1965,NA,0.367,0.595,-181.50157,0.88025,1423,79,NA,0.327,0.601,0,23,36.715,"south",1,0,0,0
"AL",5,112,"House",21193,41,200,0,1,"BROOKS, Mo","B001274",1954,NA,0.647,-0.446,-246.59671,0.8415,1429,102,NA,0.564,-0.142,1,38,45.856,"south",1,0,0,0
"AL",6,112,"House",29301,41,200,0,1,"BACHUS, Spencer T., III","B000013",1947,NA,0.387,0.228,-182.54918,0.876,1382,78,NA,0.339,0.342,0,23,55.559,"south",1,0,0,0
"AR",1,112,"House",21106,42,200,0,1,"CRAWFORD, Rick","C001087",1966,NA,0.409,0.494,-137.83026,0.90781,1425,62,NA,0.322,0.604,1,38,33.862,"south",1,0,0,0
"AR",2,112,"House",21107,42,200,0,1,"GRIFFIN, Tim","G000567",1968,NA,0.41,0.421,-162.76919,0.892,1423,74,NA,0.424,0.292,1,44,43.685,"south",1,0,0,0
"AR",3,112,"House",21108,42,200,0,1,"WOMACK, Steve","W000809",1957,NA,0.354,0.589,-128.148,0.91451,1434,54,NA,0.308,0.574,1,34,40.674,"south",1,0,0,0
"AZ",1,112,"House",21103,61,200,0,1,"GOSAR, Paul","G000565",1958,NA,0.676,-0.419,-281.27951,0.81512,1376,111,NA,0.507,-0.069,1,44,40.854,"west",0,0,1,0
"AZ",2,112,"House",20304,61,200,0,1,"FRANKS, Trent","F000448",1957,NA,0.749,0.087,-198.19888,0.86938,1416,83,NA,0.689,0.002,0,38,47.963,"west",0,0,1,0
"AZ",3,112,"House",21104,61,200,0,1,"QUAYLE, Ben","Q000024",1976,NA,0.712,0.222,-154.5331,0.893,1371,74,NA,0.705,0.179,1,42,52.327,"west",0,0,1,0
"AZ",5,112,"House",21105,61,200,0,1,"SCHWEIKERT, David","S001183",1962,NA,0.59,-0.324,-186.79653,0.87698,1423,69,NA,0.644,-0.256,1,47,55.876,"west",0,0,1,0
"AZ",6,112,"House",20100,61,200,0,1,"FLAKE, Jeff","F000444",1962,NA,0.855,-0.518,-192.73056,0.8707,1392,71,NA,0.913,-0.408,0,38,56.691,"west",0,0,1,0
"CA",19,112,"House",21109,71,200,0,1,"DENHAM, Jeff","D000612",1967,NA,0.306,0.212,-216.83402,0.85699,1405,94,NA,0.408,0.19,1,46,51.553,"west",0,0,1,0
"CA",2,112,"House",15420,71,200,0,1,"HERGER, Walter William (Wally)","H000528",1945,NA,0.551,0.117,-136.48577,0.905,1374,52,NA,0.572,0.274,0,43,42.249,"west",0,0,1,0
"CA",21,112,"House",20307,71,200,0,1,"NUNES, Devin","N000181",1973,NA,0.449,0.213,-164.30469,0.89023,1413,72,NA,0.463,0.323,0,42,48.113,"west",0,0,1,0
"CA",22,112,"House",20703,71,200,0,1,"MCCARTHY, Kevin","M001165",1965,NA,0.459,0.21,-133.11699,0.90954,1404,47,NA,0.471,0.34,0,38,53.626,"west",0,0,1,0
"CA",24,112,"House",15413,71,200,0,1,"GALLEGLY, Elton W.","G000021",1944,NA,0.402,-0.1,-194.95235,0.864,1333,74,NA,0.367,0.204,0,51,74.103,"west",0,0,1,0
"CA",25,112,"House",29315,71,200,0,1,"McKEON, Howard P. (Buck)","M000508",1938,NA,0.396,0.208,-163.3949,0.889,1388,67,NA,0.329,0.395,0,49,57.862,"west",0,0,1,0
"CA",26,112,"House",14813,71,200,0,1,"DREIER, David Timothy","D000492",1952,NA,0.478,-0.084,-248.0076,0.839,1417,112,NA,0.345,0.267,0,51,75.086,"west",0,0,1,0
"CA",3,112,"House",14647,71,200,0,1,"LUNGREN, Daniel Edward","L000517",1946,NA,0.497,-0.054,-260.3908,0.833,1424,122,NA,0.355,0.267,0,49,61.853,"west",0,0,1,0
"CA",4,112,"House",20903,71,200,0,1,"McCLINTOCK, Tom","M001177",1956,NA,0.719,-0.472,-291.09935,0.81593,1431,124,NA,0.919,-0.395,0,44,60.629,"west",0,0,1,0
"CA",40,112,"House",29321,71,200,0,1,"ROYCE, Edward Randall","R000487",1951,NA,0.657,-0.353,-206.89856,0.86477,1424,92,NA,0.655,-0.406,0,47,65.243,"west",0,0,1,0
"CA",41,112,"House",14644,71,200,0,1,"LEWIS, Charles Jeremy (Jerry)","L000274",1934,NA,0.348,-0.101,-186.97801,0.861,1246,66,NA,0.295,0.271,0,44,49.506,"west",0,0,1,0
"CA",42,112,"House",29905,71,200,0,1,"MILLER, Gary G.","M001139",1948,NA,0.478,0.222,-166.02919,0.883,1338,74,NA,0.5,0.224,0,45,83.029,"west",0,0,1,0
"CA",44,112,"House",29323,71,200,0,1,"CALVERT, Ken","C000059",1953,NA,0.349,0.22,-144.929,0.90265,1415,54,NA,0.315,0.491,0,50,67.381,"west",0,0,1,0
"CA",45,112,"House",29775,71,200,0,1,"BONO, Mary","B001228",1961,NA,0.353,-0.218,-272.49942,0.821,1385,118,NA,0.411,-0.146,0,52,49.508,"west",0,0,1,0
"CA",46,112,"House",15621,71,200,0,1,"ROHRABACHER, Dana","R000409",1947,NA,0.626,-0.417,-294.46089,0.81129,1408,126,NA,0.631,-0.475,0,48,71.332,"west",0,0,1,0
