"FEDFUNDS","lag_FEDFUNDS","democrat","election","inflation","DATE"
NA,NA,0,0,-1.15368,"01jan1953"
NA,NA,0,1,1.50264,"01apr1953"
NA,NA,0,2,1.84132,"01jul1953"
NA,NA,0,3,0.70036,"01oct1953"
NA,NA,0,4,0.93716,"01jan1954"
NA,NA,0,5,-0.63816,"01apr1954"
1.03,NA,0,6,-1.04052,"01jul1954"
0.99,1.03,0,7,-1.23696,"01oct1954"
1.34,0.99000001,0,8,0.53816,"01jan1955"
1.5,1.34,0,9,-0.53744,"01apr1955"
1.94,1.5,0,10,0.299,"01jul1955"
2.36,1.9400001,0,11,1.19504,"01oct1955"
2.48,2.3599999,0,12,0.04468,"01jan1956"
2.69,2.48,0,13,2.63588,"01apr1956"
2.81,2.6900001,0,14,4.14248,"01jul1956"
2.93,2.8099999,0,15,3.4118,"01oct1956"
2.93,2.9300001,0,0,3.29584,"01jan1957"
3,2.9300001,0,1,3.39848,"01apr1957"
3.23,3,0,2,3.56976,"01jul1957"
3.25,3.23,0,3,1.93892,"01oct1957"
1.86,3.25,0,4,4.74648,"01jan1958"
0.94,1.86,0,5,2.68644,"01apr1958"
1.32,0.94,0,6,-0.23504,"01jul1958"
2.16,1.3200001,0,7,0.41504,"01oct1958"
2.57,2.1600001,0,8,0.691,"01jan1959"
3.08,2.5699999,0,9,0.68984,"01apr1959"
3.58,3.0799999,0,10,2.06592,"01jul1959"
3.99,3.5799999,0,11,2.42524,"01oct1959"
3.93,3.99,0,12,0.36772,"01jan1960"
3.7,3.9300001,0,13,2.3948,"01apr1960"
2.94,3.7,0,14,0.22992,"01jul1960"
2.3,2.9400001,0,15,2.56844,"01oct1960"
2,2.3,1,0,0.80592,"01jan1961"
1.73,2,1,1,-0.13404,"01apr1961"
1.68,1.73,1,2,1.56888,"01jul1961"
2.4,1.6799999,1,3,0.57436,"01oct1961"
2.46,2.4000001,1,4,1.56052,"01jan1962"
2.61,2.46,1,5,1.50132,"01apr1962"
2.85,2.6099999,1,6,1.15156,"01jul1962"
2.92,2.8499999,1,7,0.96348,"01oct1962"
2.97,2.9200001,1,8,1.27716,"01jan1963"
2.96,2.97,1,9,0.735,"01apr1963"
3.33,2.96,1,10,2.4498,"01jul1963"
3.45,3.3299999,1,11,1.08072,"01oct1963"
3.46,3.45,1,12,1.6492,"01jan1964"
3.49,3.46,1,13,0.64664,"01apr1964"
3.46,3.49,1,14,0.9038,"01jul1964"
3.58,3.46,1,15,1.8422,"01oct1964"
3.97,3.5799999,1,0,1.24388,"01jan1965"
4.08,3.97,1,1,2.55672,"01apr1965"
4.07,4.0799999,1,2,1.18132,"01jul1965"
4.17,4.0700002,1,3,2.11508,"01oct1965"
4.56,4.1700001,1,4,3.74172,"01jan1966"
4.91,4.5599999,1,5,3.61968,"01apr1966"
5.41,4.9099998,1,6,3.46352,"01jul1966"
5.56,5.4099998,1,7,3.26212,"01oct1966"
4.82,5.5599999,1,8,1.0218,"01jan1967"
3.99,4.8200002,1,9,2.42668,"01apr1967"
3.89,3.99,1,10,4.01604,"01jul1967"
4.17,3.8900001,1,11,4.38208,"01oct1967"
4.79,4.1700001,1,12,3.93304,"01jan1968"
5.98,4.79,1,13,3.89472,"01apr1968"
5.94,5.98,1,14,5.40932,"01jul1968"
5.92,5.9400001,1,15,4.94856,"01oct1968"
6.57,5.9200001,0,0,4.8994,"01jan1969"
8.33,6.5700002,0,1,6.3122,"01apr1969"
8.98,8.3299999,0,2,5.48952,"01jul1969"
8.94,8.9799995,0,3,6.14084,"01oct1969"
8.57,8.9399996,0,4,6.4,"01jan1970"
7.88,8.5699997,0,5,5.5958,"01apr1970"
6.7,7.8800001,0,6,4.14152,"01jul1970"
5.57,6.6999998,0,7,5.81048,"01oct1970"
3.86,5.5700002,0,8,3.36364,"01jan1971"
4.56,3.8599999,0,9,3.67616,"01apr1971"
5.47,4.5599999,0,10,3.97024,"01jul1971"
4.75,5.4699998,0,11,2.9484,"01oct1971"
3.54,4.75,0,12,3.2488,"01jan1972"
